Order_ID,ASIN,Product_Name,Category,Sub_Category,Order_Date,Ship_Date,Delivery_Date,Delivery_Type,Customer_ID,Customer_Name,Customer_Tier,Age_Group,City,State,Region,Quantity,Unit_Price_INR,Discount_%,Discount_Amount_INR,Sale_Price_INR,Profit_INR,Profit_Margin_%,Payment_Method,Returned,Return_Reason,Customer_Rating,Year,Month,Quarter,Financial_Year,Is_Weekend_Order,Is_Festive_Season
AMZ-ORD-100001,ASIN-67154867,Paperboat Aam Panna,Grocery & Gourmet,Beverages,2023-10-14,2023-10-15,2023-10-16,Amazon Prime (1-Day),AMZ-CUST-5213,Vishal Nair,Prime,55+,Mumbai,Maharashtra,West,1,1209.8,70,846.86,362.94,21.38,5.89,EMI,No,N/A,2,2023,October,Q4,FY2023-24,Yes,Yes
AMZ-ORD-100002,ASIN-15276079,Amul Butter 500g,Grocery & Gourmet,Staples,2023-11-14,2023-11-15,2023-11-15,Amazon Prime (1-Day),AMZ-CUST-5077,Tanya Gupta,Regular,25-34,Bhopal,Madhya Pradesh,Central,4,3238.47,20,2590.78,10363.1,791.87,7.64,EMI,No,N/A,1,2023,November,Q4,FY2023-24,No,Yes
AMZ-ORD-100003,ASIN-69213068,Frooti Mango 24 Pack,Grocery & Gourmet,Beverages,2022-08-19,2022-08-21,2022-08-21,Amazon Prime (2-Day),AMZ-CUST-5369,Simran Rao,Regular,45-54,Nagpur,Maharashtra,West,1,3704.77,0,0.0,3704.77,188.82,5.1,Net Banking,No,N/A,5,2022,August,Q3,FY2022-23,No,No
AMZ-ORD-100004,ASIN-78495528,Hisense 50 A6H,Electronics,Televisions,2022-07-04,2022-07-11,2022-07-12,Standard (5-7 Days),AMZ-CUST-5751,Nisha Tiwari,Regular,35-44,Kochi,Kerala,South,4,28246.54,30,33895.85,79090.31,13938.16,17.62,Credit Card,No,N/A,3,2022,July,Q3,FY2022-23,No,No
AMZ-ORD-100005,ASIN-92570689,Tata Salt 1kg,Grocery & Gourmet,Staples,2021-09-29,2021-09-29,2021-09-29,Amazon Fresh (Same Day),AMZ-CUST-5713,Gaurav Verma,Regular,55+,Ahmedabad,Gujarat,West,5,562.38,40,1124.76,1687.14,219.71,13.02,Net Banking,No,N/A,4,2021,September,Q3,FY2021-22,No,No
AMZ-ORD-100006,ASIN-98600048,Horlicks 1kg,Grocery & Gourmet,Staples,2021-03-01,2021-03-02,2021-03-03,Amazon Prime (1-Day),AMZ-CUST-5701,Nikhil Joshi,Prime,35-44,Jaipur,Rajasthan,North,1,4604.97,30,1381.49,3223.48,303.23,9.41,Cash on Delivery,No,N/A,1,2021,March,Q1,FY2020-21,No,No
AMZ-ORD-100007,ASIN-63095714,Nestle Everyday Milk Powder,Grocery & Gourmet,Staples,2023-12-11,2023-12-13,2023-12-14,Amazon Prime (2-Day),AMZ-CUST-5786,Amit Reddy,Regular,45-54,Bengaluru,Karnataka,South,5,2618.54,5,654.63,12438.07,1160.28,9.33,Debit Card,No,N/A,4,2023,December,Q4,FY2023-24,No,Yes
AMZ-ORD-100008,ASIN-17158549,Maggi Noodles 12 Pack,Grocery & Gourmet,Staples,2021-04-22,2021-04-22,2021-04-23,Amazon Fresh (Same Day),AMZ-CUST-5012,Pooja Reddy,Prime,25-34,Delhi,Delhi,North,4,4250.79,10,1700.32,15302.84,879.71,5.75,Credit Card,No,N/A,4,2021,April,Q2,FY2021-22,No,No
AMZ-ORD-100009,ASIN-16470781,Decathlon Tennis Racket,Sports & Outdoors,Sports Gear,2023-11-05,2023-11-12,2023-11-12,Scheduled Delivery,AMZ-CUST-5229,Priya Tiwari,Prime,45-54,Hyderabad,Telangana,South,1,40890.74,40,16356.3,24534.44,6404.65,26.1,UPI,No,N/A,5,2023,November,Q4,FY2023-24,Yes,Yes
AMZ-ORD-100010,ASIN-45656078,India Gate Basmati Rice 5kg,Grocery & Gourmet,Staples,2021-09-01,2021-09-02,2021-09-03,Amazon Prime (1-Day),AMZ-CUST-5510,Pooja Mehta,Business Prime,35-44,Delhi,Delhi,North,1,2046.03,50,1023.01,1023.02,107.32,10.49,Debit Card,No,N/A,5,2021,September,Q3,FY2021-22,No,No
AMZ-ORD-100011,ASIN-60087996,Prestige Induction Cooktop,Home & Kitchen,Kitchen Appliances,2023-07-24,2023-07-31,2023-08-01,Scheduled Delivery,AMZ-CUST-5350,Varun Kumar,Regular,35-44,Bhopal,Madhya Pradesh,Central,3,76018.71,50,114028.07,114028.06,38980.96,34.19,Credit Card,No,N/A,2,2023,July,Q3,FY2023-24,No,No
AMZ-ORD-100012,ASIN-77029692,Bombay Dyeing Curtains,Home & Kitchen,Home Decor,2022-03-31,2022-04-02,2022-04-03,Amazon Prime (2-Day),AMZ-CUST-5003,Amit Sharma,Prime,25-34,Bhopal,Madhya Pradesh,Central,3,49381.61,5,7407.24,140737.59,22721.31,16.14,Credit Card,No,N/A,4,2022,March,Q1,FY2021-22,No,No
AMZ-ORD-100013,ASIN-40773524,Biba Salwar Suit,Fashion,Women's Clothing,2022-06-05,2022-06-07,2022-06-08,Amazon Prime (2-Day),AMZ-CUST-5626,Sanjay Malhotra,Prime,35-44,Gurgaon,Haryana,North,4,23275.34,15,13965.2,79136.16,30634.7,38.71,Credit Card,No,N/A,4,2022,June,Q2,FY2022-23,Yes,No
AMZ-ORD-100014,ASIN-14816221,MTG NEET Biology,Books & Media,Academic,2021-09-10,2021-09-11,2021-09-12,Amazon Prime (1-Day),AMZ-CUST-5791,Amit Malhotra,Regular,55+,Nagpur,Maharashtra,West,2,2871.95,40,2297.56,3446.34,520.69,15.11,Net Banking,No,N/A,5,2021,September,Q3,FY2021-22,No,No
AMZ-ORD-100015,ASIN-67888547,Boldfit Resistance Bands,Sports & Outdoors,Fitness Equipment,2021-12-29,2022-01-05,2022-01-06,Scheduled Delivery,AMZ-CUST-5709,Tanya Bansal,Prime,45-54,Chandigarh,Punjab,North,5,5355.99,60,16067.97,10711.98,3970.65,37.07,UPI,No,N/A,3,2021,December,Q4,FY2021-22,No,Yes
AMZ-ORD-100016,ASIN-20319676,Kent Grand Plus RO,Home & Kitchen,Cleaning,2023-03-26,2023-04-01,2023-04-01,Scheduled Delivery,AMZ-CUST-5352,Varun Chopra,Prime,45-54,Patna,Bihar,East,5,12607.56,50,31518.9,31518.9,7083.19,22.47,Cash on Delivery,No,N/A,5,2023,March,Q1,FY2022-23,Yes,No
AMZ-ORD-100017,ASIN-30645893,Urban Ladder Sofa,Home & Kitchen,Furniture,2022-08-19,2022-08-26,2022-08-27,Scheduled Delivery,AMZ-CUST-5704,Suresh Tiwari,Regular,18-24,Indore,Madhya Pradesh,Central,3,45448.63,5,6817.29,129528.6,44064.82,34.02,UPI,No,N/A,5,2022,August,Q3,FY2022-23,No,No
AMZ-ORD-100018,ASIN-90675513,Powermax Treadmill,Sports & Outdoors,Fitness Equipment,2023-05-16,2023-05-21,2023-05-22,Standard (5-7 Days),AMZ-CUST-5014,Tanvi Kapoor,Regular,35-44,Kolkata,West Bengal,East,1,19166.34,70,13416.44,5749.9,943.85,16.42,EMI,No,N/A,3,2023,May,Q2,FY2023-24,No,No
AMZ-ORD-100019,ASIN-42760884,HomeTown Dining Set,Home & Kitchen,Furniture,2021-05-08,2021-05-13,2021-05-14,Scheduled Delivery,AMZ-CUST-5708,Meera Patel,Prime,35-44,Indore,Madhya Pradesh,Central,4,3100.11,5,620.02,11780.42,3581.57,30.4,Cash on Delivery,No,N/A,4,2021,May,Q2,FY2021-22,Yes,No
AMZ-ORD-100020,ASIN-76498166,Kiran SSC CGL,Books & Media,Academic,2021-04-07,2021-04-09,2021-04-10,Amazon Prime (2-Day),AMZ-CUST-5391,Tanya Chopra,Regular,25-34,Indore,Madhya Pradesh,Central,1,2899.92,0,0.0,2899.92,974.13,33.59,EMI,No,N/A,4,2021,April,Q2,FY2021-22,No,No
AMZ-ORD-100021,ASIN-15276079,Amul Butter 500g,Grocery & Gourmet,Staples,2022-02-07,2022-02-11,2022-02-12,Scheduled Delivery,AMZ-CUST-5795,Nikhil Sharma,Regular,45-54,Chennai,Tamil Nadu,South,1,2270.63,10,227.06,2043.57,298.87,14.62,UPI,Yes,Size Issue,5,2022,February,Q1,FY2021-22,No,No
AMZ-ORD-100022,ASIN-92157829,Yonex Badminton Racket,Sports & Outdoors,Sports Gear,2021-09-24,2021-09-28,2021-09-29,Standard (5-7 Days),AMZ-CUST-5165,Rohan Joshi,Prime,35-44,Hyderabad,Telangana,South,2,16661.03,0,0.0,33322.06,6278.74,18.84,Net Banking,No,N/A,5,2021,September,Q3,FY2021-22,No,No
AMZ-ORD-100023,ASIN-52621669,Minute Maid Pulpy,Grocery & Gourmet,Beverages,2023-01-04,2023-01-09,2023-01-10,Scheduled Delivery,AMZ-CUST-5075,Rohit Kapoor,Prime,35-44,Delhi,Delhi,North,2,1137.81,50,1137.81,1137.81,64.65,5.68,Credit Card,No,N/A,4,2023,January,Q1,FY2022-23,No,No
AMZ-ORD-100024,ASIN-14807534,Woodland Boots,Fashion,Footwear,2022-12-17,2022-12-21,2022-12-21,Scheduled Delivery,AMZ-CUST-5227,Rohit Chopra,Prime,25-34,Patna,Bihar,East,2,9210.71,60,11052.85,7368.57,3014.85,40.91,Debit Card,No,N/A,5,2022,December,Q4,FY2022-23,Yes,Yes
AMZ-ORD-100025,ASIN-69213068,Frooti Mango 24 Pack,Grocery & Gourmet,Beverages,2022-05-15,2022-05-19,2022-05-20,Standard (5-7 Days),AMZ-CUST-5041,Nikhil Tiwari,Prime,55+,Kochi,Kerala,South,1,4582.87,30,1374.86,3208.01,242.72,7.57,Amazon Pay,No,N/A,5,2022,May,Q2,FY2022-23,Yes,No
AMZ-ORD-100026,ASIN-31881603,Durian Recliner,Home & Kitchen,Furniture,2023-09-24,2023-09-28,2023-09-28,Scheduled Delivery,AMZ-CUST-5045,Vishal Iyer,Prime,25-34,Delhi,Delhi,North,1,46346.74,10,4634.67,41712.07,16388.97,39.29,EMI,No,N/A,3,2023,September,Q3,FY2023-24,Yes,No
AMZ-ORD-100027,ASIN-68893154,Titan Raga Watch,Fashion,Accessories,2023-05-19,2023-05-23,2023-05-23,Standard (5-7 Days),AMZ-CUST-5107,Riya Joshi,Regular,35-44,Bengaluru,Karnataka,South,2,18747.2,0,0.0,37494.4,14539.11,38.78,EMI,No,N/A,3,2023,May,Q2,FY2023-24,No,No
AMZ-ORD-100028,ASIN-31885012,Fujifilm X-T5,Electronics,Cameras,2022-05-31,2022-05-31,2022-06-01,Amazon Fresh (Same Day),AMZ-CUST-5572,Rohan Kumar,Prime,45-54,Kochi,Kerala,South,4,136736.0,30,164083.2,382860.8,47900.7,12.51,Cash on Delivery,No,N/A,4,2022,May,Q2,FY2022-23,No,No
AMZ-ORD-100029,ASIN-56371827,Nikon Z30,Electronics,Cameras,2021-08-31,2021-09-01,2021-09-02,Amazon Prime (1-Day),AMZ-CUST-5548,Meera Shah,Prime,55+,Nagpur,Maharashtra,West,5,113637.13,0,0.0,568185.65,85277.96,15.01,UPI,No,N/A,2,2021,August,Q3,FY2021-22,No,No
AMZ-ORD-100030,ASIN-38140941,Vu Premium 55,Electronics,Televisions,2022-09-10,2022-09-12,2022-09-12,Amazon Prime (2-Day),AMZ-CUST-5622,Nikhil Verma,Prime,45-54,Jaipur,Rajasthan,North,1,57829.62,40,23131.85,34697.77,3318.23,9.56,UPI,No,N/A,5,2022,September,Q3,FY2022-23,Yes,No
AMZ-ORD-100031,ASIN-58851418,Red Bull Energy 24 Pack,Grocery & Gourmet,Beverages,2021-10-23,2021-10-24,2021-10-25,Amazon Prime (1-Day),AMZ-CUST-5306,Suresh Reddy,Regular,25-34,Chennai,Tamil Nadu,South,5,2788.94,10,1394.47,12550.23,782.17,6.23,UPI,No,N/A,2,2021,October,Q4,FY2021-22,Yes,Yes
AMZ-ORD-100032,ASIN-87549978,Tata Tea Premium 500g,Grocery & Gourmet,Beverages,2022-03-07,2022-03-09,2022-03-10,Amazon Prime (2-Day),AMZ-CUST-5767,Rohan Bansal,Regular,55+,Ahmedabad,Gujarat,West,5,2091.64,10,1045.82,9412.38,622.12,6.61,Cash on Delivery,No,N/A,3,2022,March,Q1,FY2021-22,No,No
AMZ-ORD-100033,ASIN-48743679,Adidas Football Boots,Sports & Outdoors,Sports Gear,2021-04-22,2021-04-29,2021-04-30,Scheduled Delivery,AMZ-CUST-5770,Shruti Patel,Regular,35-44,Kolkata,West Bengal,East,1,3841.6,20,768.32,3073.28,536.44,17.46,Credit Card,No,N/A,3,2021,April,Q2,FY2021-22,No,No
AMZ-ORD-100034,ASIN-19478701,Acer Aspire 7,Electronics,Laptops,2022-08-07,2022-08-12,2022-08-13,Scheduled Delivery,AMZ-CUST-5635,Rahul Singh,Prime,25-34,Kolkata,West Bengal,East,3,73392.32,60,132106.18,88070.78,12853.25,14.59,Debit Card,No,N/A,4,2022,August,Q3,FY2022-23,Yes,No
